company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(주)스톤위즈,낮음,2986,3038,3104,3193.75,3262.25,3339.25,3433.5,3535.75,3660,3790.75,3932.25,4095.5,4287.25,4505,4736,4970.5,5199,5415.25,5525,6479.67,6565.91
(주)스트라티오코리아,낮음,3063,3119.75,3201.75,3328,3451.25,3593.25,3745.25,3882.5,4020.75,4149.25,4274,4398.25,4519.75,4638,4758.75,4895.25,5057.5,5244,5342.33,6709,6833.45
(주)시스콘로보틱스,낮음,3432,3501.75,3602.5,3745.5,3872,3997,4121.75,4235.5,4365.75,4500.25,4640.75,4785,4927.25,5067.25,5210,5367.25,5546.25,5743.75,5847.33,7021,7127.82
(주)시에라베이스,매우낮음,3770.75,3845.25,3948.5,4091.5,4216.5,4341,4471.75,4598.25,4745.25,4897.75,5057.5,5225,5393.5,5561.5,5729.75,5902.75,6083.5,6268.5,6364,7396.08,7489.73
(주)싸이버로지텍,높음,4833,4936,5080.75,5274.75,5442.5,5598.5,5764.5,5937,6146.75,6371,6611.25,6873.5,7154.25,7449.75,7751.75,8057,8372.5,8705.5,8874,10929.33,11117.18
(주)쏠리드윈텍,보통,3610,3678.75,3773.25,3905.75,4019.75,4137,4264.25,4387.75,4527.75,4670.75,4817.25,4970,5130.75,5299.25,5476.5,5665,5863.75,6069.5,6174,7347.75,7454.64
(주)쓰리아이,높음,3910.75,3979,4067.25,4189.5,4285.25,4391,4516.25,4647,4805.75,4972.5,5144.5,5322.25,5500.25,5678,5858.25,6046.5,6247.5,6462.25,6572,8051.67,8186.64
(주)씨브이네트,보통,4328.5,4411,4531.5,4712.5,4882.75,5066.75,5252.75,5411.75,5573.75,5729.25,5890,6069,6264,6472,6692.75,6925,7168.75,7417.75,7545,9026,9160.55
(주)씨앤유글로벌,낮음,3865.25,3946.5,4069.75,4249.75,4417.25,4585.75,4756,4913.25,5093.25,5283,5481.75,5691.25,5905,6117,6326.5,6536.75,6751.75,6968.25,7079.67,8288.75,8398.18
(주)씨앤지마이크로웨이브,보통,3281,3337.75,3413.5,3522.5,3609.75,3704,3808,3909.5,4033,4172.5,4329.75,4502,4678,4849.25,5012.75,5170.75,5331,5492.75,5574.33,6809.17,6921.45
(주)아론티어,낮음,3976.75,4063.25,4186.5,4357.25,4520.25,4687.75,4872.25,5065.5,5288.75,5519,5755.25,5995.5,6234.25,6469.5,6700,6930,7164.25,7404.25,7526.33,8828.33,8946.91
(주)아르고스아이덴티티코리아,낮음,4084.5,4161.25,4265.5,4413,4542.25,4682,4837.5,4992.75,5169.5,5347.5,5527.25,5708.75,5887.25,6062.25,6235.25,6412.25,6597,6789.5,6888.33,8046.83,8152.36
(주)아이도트,보통,3598.75,3669.25,3768.75,3911.5,4044.25,4187,4345.25,4505.5,4687,4873.5,5063.25,5252,5428.25,5588.5,5741.75,5912.75,6123,6373,6508.67,7768.25,7882.73
