company_name_s,posting_id,job_category_kor,posting_title_j,posting_tech_stack,education_j,education_s,employment_type,position,company_keywords_jumpit,company_tech_stack,company_type,industry,exp_min,exp_max,edu_category,start_datetime,end_datetime,posting_views_total,applicants_total
(주)이노시뮬레이션,51773252,SW/솔루션,철도용시뮬레이터 SW개발자(경력5-7년),C++;C#;WPF,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",장기근속 포상;패밀리데이;코스닥;유연근무제;점심지원;사내 카페,C#;C++;WPF,중소기업;코스닥;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,시스템 소프트웨어 개발 및 공급업,5,7,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,30,3
(주)이노시뮬레이션,51773281,SW/솔루션,철도용시뮬레이터 SW개발자(경력8-10년),C++;C#;WPF,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",장기근속 포상;패밀리데이;코스닥;유연근무제;점심지원;사내 카페,C#;C++;WPF,중소기업;코스닥;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,시스템 소프트웨어 개발 및 공급업,8,10,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,40,1
(주)이노케어플러스,51604678,빅데이터 엔지니어,데이터 엔지니어(5년 이상),AWS;Docker;Kafka;Kubernetes;Pandas;Python;SQL,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",2호선 역세권 기업;유연근무제;간식 제공,Docker;Pandas;Kafka;AWS;Kubernetes;Python;SQL;CSS 3;REST API;Git;Babel;Redux;HTML5;JavaScript;React;Webpack,중소기업,응용 소프트웨어 개발 및 공급업,5,10,초대졸(예정),2025.08.20 00:00,2025.09.18 23:59,159,7
(주)이노케어플러스,51706727,프론트엔드 개발자,Front-End 개발자(1년이상),CSS3;HTML5;JavaScript;React;Redux;Webpack;Babel;Git;RESTAPI,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",2호선 역세권 기업;유연근무제;간식 제공,Docker;Pandas;Kafka;AWS;Kubernetes;Python;SQL;CSS 3;REST API;Git;Babel;Redux;HTML5;JavaScript;React;Webpack,중소기업,응용 소프트웨어 개발 및 공급업,1,10,초대졸(예정),2025.09.01 00:00,2025.09.30 23:59,295,102
(주)이브릿지,51577188,서버/백엔드 개발자,플랫폼개발팀 Backend 개발자 경력,PHP;MySQL;ApacheHTTPServer;RESTAPI;HTML5;CSS3;Node.js;jQuery;JavaScript,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",육아휴직;2호선 역세권 기업,REST API;CSS 3;jQuery;MySQL;HTML5;JavaScript;PHP;Node.js;Apache HTTP Server,중소기업,광고 대행업,5,10,대졸(예정),2025.08.18 00:00,2025.09.16 23:59,364,42
(주)이비즈테크,51628767,HW/임베디드;iOS 개발자;DevOps/시스템 엔지니어;빅데이터 엔지니어;기술지원,신입 클라우드 엔지니어 모집,Linux;Windows;AWS;AZURE;OpenStack;AzureDevOps,"대학졸업(2,3년) 이상
(졸업예정자 가능)","대졸(2,3년제) 이상(예정자 가능)",정규직,"",매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;프리한 복장;간식 제공,WebGL;CloudBees;vmware;OpenStack;Windows;ServiceStack;MSSQL;Cloud CMS;AZURE;Backpack;Linux;GCP;Amazon MQ;Oracle;AWS;Azure DevOps;DB,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업",0,0,초대졸(예정),2025.08.22 00:00,2025.09.20 23:59,987,84
(주)이비즈테크,51628982,SW/솔루션;서버/백엔드 개발자;빅데이터 엔지니어;DevOps/시스템 엔지니어;기술지원,신입 Veeam 백업 엔지니어 모집,Linux;Windows;DB;Oracle;MSSQL,"대학졸업(2,3년) 이상
(졸업예정자 가능)","대졸(2,3년제) 이상(예정자 가능)",정규직,"",매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;프리한 복장;간식 제공,WebGL;CloudBees;vmware;OpenStack;Windows;ServiceStack;MSSQL;Cloud CMS;AZURE;Backpack;Linux;GCP;Amazon MQ;Oracle;AWS;Azure DevOps;DB,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업",0,0,초대졸(예정),2025.08.22 00:00,2025.09.20 23:59,515,43
(주)이비즈테크,51629223,서버/백엔드 개발자;DevOps/시스템 엔지니어;SW/솔루션;빅데이터 엔지니어;기술지원,경력 Veeam 백업 엔지니어 모집,Linux;Windows;DB;Oracle;MSSQL,"대학졸업(2,3년) 이상
(졸업예정자 가능)","대졸(2,3년제) 이상(예정자 가능)",정규직,"",매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;프리한 복장;간식 제공,WebGL;CloudBees;vmware;OpenStack;Windows;ServiceStack;MSSQL;Cloud CMS;AZURE;Backpack;Linux;GCP;Amazon MQ;Oracle;AWS;Azure DevOps;DB,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업",1,1,초대졸(예정),2025.08.22 00:00,2025.09.20 23:59,118,3
(주)이스트소프트,51658627,서버/백엔드 개발자,AI App Backend Engineer (경력),RESTAPI;Python;Flask;FastAPI;MySQL;PostgreSQL;MongoDB;Cassandra;SpringBoot,무관,학력무관,정규직,"",자유로운 연차;코스닥;휴가비 지원;3호선 역세권 기업,C lang;Microsoft Teams;PostgreSQL;Cassandra;DeepLearning;Spring Boot;Jira;REST API;PyTorch;Docker;FFMPEG;MySQL;Notion;FastAPI;MongoDB;Python;Flask;Kubernetes;TensorFlow,"",응용 소프트웨어 개발 및 공급업,5,15,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.26 00:00,2025.09.24 23:59,182,20
(주)이스트소프트,51781275,SW/솔루션;인공지능/머신러닝,음성 인식 및 생성 시스템 개발,Jira;Notion;MicrosoftTeams;PyTorch;Clang;Docker;Kubernetes;DeepLearning;TensorFlow;FFMPEG,무관,학력무관,정규직,"",자유로운 연차;코스닥;휴가비 지원;3호선 역세권 기업,C lang;Microsoft Teams;PostgreSQL;Cassandra;DeepLearning;Spring Boot;Jira;REST API;PyTorch;Docker;FFMPEG;MySQL;Notion;FastAPI;MongoDB;Python;Flask;Kubernetes;TensorFlow,"",응용 소프트웨어 개발 및 공급업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.09 00:00,2025.10.08 23:59,18,2
(주)이스트소프트,51781488,인공지능/머신러닝,LLM 기반 영상 번역 서비스 개발,Jira;Notion;MicrosoftTeams;PyTorch;Clang;Docker;Kubernetes;DeepLearning;TensorFlow,무관,학력무관,정규직,"",자유로운 연차;코스닥;휴가비 지원;3호선 역세권 기업,C lang;Microsoft Teams;PostgreSQL;Cassandra;DeepLearning;Spring Boot;Jira;REST API;PyTorch;Docker;FFMPEG;MySQL;Notion;FastAPI;MongoDB;Python;Flask;Kubernetes;TensorFlow,"",응용 소프트웨어 개발 및 공급업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.09 00:00,2025.10.08 23:59,21,3
(주)이스트에이드,51744900,안드로이드 개발자;HW/임베디드;크로스플랫폼 앱개발자;기술지원;블록체인,Android 개발자,MVVM;AAC;Kotlin;Coroutine;Flow,무관,학력무관(예정자 가능),정규직,"",육아휴직;이스트소프트 계열사;코스닥;3호선 역세권 기업,Git;Linux;GCP;HTML5;JavaScript;Spring Framework;Spring Boot;iOS;AWS;Python;AAC;MVVM;Coroutine;Kotlin;Flow,중소기업;코스닥;주식회사,포털 및 기타 인터넷 정보매개 서비스업,5,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.04 00:00,2025.10.03 23:59,179,30
(주)이우소프트,51645304,서버/백엔드 개발자,영상 Server Backend 개발자(경력 5년이상),TypeScript;JavaScript;AWS;DB;NoSql;Jira;MicrosoftOffice365;Confluence,무관,학력무관,정규직,"","주거복지;장기근속 포상;바텍네트웍스 계열사;점심지원;간식 제공;평균연봉 6,000 이상",Microsoft Office 365;Node.js;React;Jira;TypeScript;NoSql;Confluence;JavaScript;Flutter;Koa;AWS;DB;ExpressJS,중소기업,컴퓨터 프로그래밍 서비스업,3,7,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.25 00:00,2025.09.23 23:59,135,16
(주)이즈파크,51552490,기술지원,"C++, VB.NET 개발자 채용",C++;.NET,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;영업이익 150% 급성장,C++;.NET,중소기업;주식회사;외부감사법인,응용 소프트웨어 개발 및 공급업,7,20,초대졸(예정),2025.08.14 00:00,2025.09.12 23:59,187,2
(주)이투비비,51750865,서버/백엔드 개발자;SW/솔루션;웹 풀스택 개발자,GNSS 소프트웨어 개발,Python;MCU;Git,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",급성장중;1호선 역세권 기업;성과급/상여금,Git;MCU;Python,중소기업;주식회사;연구소,그 외 기타 전자부품 제조업,3,5,초대졸(예정),2025.09.07 00:00,2025.10.06 23:59,49,1
(주)이파피루스,51562660,기술지원,기술지원 담당자,JavaScript;SpringFramework;GNUBash;ibatis;Linux;MariaDB,무관,학력무관,정규직,"","연봉상승률 15% 이상;주거복지;매출액 100억 기업;자유로운 연차;점심지원;워라밸;간식 제공;평균연봉 6,000 이상",C#;AngularJS;GNU Bash;C;PostgreSQL;RxJS;ibatis;Spring Boot;Windows;Next.js;TypeScript;NoSql;Docker;MySQL;JavaScript;Flutter;AWS;Azure DevOps Server;GitLab;Python;Java;C++;SW;AWS CloudTrail;JSP;Sass;MariaDB;Spring;React;Jenkins;Vue.js;Git;Linux;HTML5;Spring Framework;MES;MongoDB;React Native;Mybatis;REST API;gRPC,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,2,10,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.15 00:00,2025.09.13 23:59,297,11
(주)이파피루스,51562709,DevOps/시스템 엔지니어;기술지원,[신입] 고객지원(CS) 담당자,Java,무관,학력무관,정규직,"","연봉상승률 15% 이상;주거복지;매출액 100억 기업;자유로운 연차;점심지원;워라밸;간식 제공;평균연봉 6,000 이상",C#;AngularJS;GNU Bash;C;PostgreSQL;RxJS;ibatis;Spring Boot;Windows;Next.js;TypeScript;NoSql;Docker;MySQL;JavaScript;Flutter;AWS;Azure DevOps Server;GitLab;Python;Java;C++;SW;AWS CloudTrail;JSP;Sass;MariaDB;Spring;React;Jenkins;Vue.js;Git;Linux;HTML5;Spring Framework;MES;MongoDB;React Native;Mybatis;REST API;gRPC,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,0,0,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.15 00:00,2025.09.13 23:59,193,16
(주)이파피루스,51562760,DevOps/시스템 엔지니어;기술지원,[경력] 고객지원(CS) 담당자,Java,무관,학력무관,정규직,"","연봉상승률 15% 이상;주거복지;매출액 100억 기업;자유로운 연차;점심지원;워라밸;간식 제공;평균연봉 6,000 이상",C#;AngularJS;GNU Bash;C;PostgreSQL;RxJS;ibatis;Spring Boot;Windows;Next.js;TypeScript;NoSql;Docker;MySQL;JavaScript;Flutter;AWS;Azure DevOps Server;GitLab;Python;Java;C++;SW;AWS CloudTrail;JSP;Sass;MariaDB;Spring;React;Jenkins;Vue.js;Git;Linux;HTML5;Spring Framework;MES;MongoDB;React Native;Mybatis;REST API;gRPC,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,1,5,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.15 00:00,2025.09.13 23:59,284,12
