company_name_j,company_type,industry
엔클로니,중소기업,"물질 검사, 측정 및 분석기구 제조업"
엔클로니,주식회사,"물질 검사, 측정 및 분석기구 제조업"
엔클로니,병역특례 인증업체,"물질 검사, 측정 및 분석기구 제조업"
(주)트래딧,중소기업,절삭가공 및 유사처리업
(주)트래딧,주식회사,절삭가공 및 유사처리업
(주)트래딧,사단법인,절삭가공 및 유사처리업
(주)트래딧,수출입 기업,절삭가공 및 유사처리업
블루닷,중소기업,시스템 소프트웨어 개발 및 공급업
블루닷,주식회사,시스템 소프트웨어 개발 및 공급업
블루닷,병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
슈프리마,중소기업,유선 통신장비 제조업
슈프리마,코스닥,유선 통신장비 제조업
슈프리마,주식회사,유선 통신장비 제조업
10가트,중소기업,전자상거래 소매업
파이,중소기업,전기식 진단 및 요법 기기 제조업
파이,주식회사,전기식 진단 및 요법 기기 제조업
파이,수출입 기업,전기식 진단 및 요법 기기 제조업
미라텍,중소기업,기타 자연과학 연구개발업
미라텍,수출입 기업,기타 자연과학 연구개발업
프리시젼바이오,중소기업,그 외 기타 의료용 기기 제조업
프리시젼바이오,코스닥,그 외 기타 의료용 기기 제조업
프리시젼바이오,주식회사,그 외 기타 의료용 기기 제조업
프리시젼바이오,외부감사법인,그 외 기타 의료용 기기 제조업
프리시젼바이오,연구소,그 외 기타 의료용 기기 제조업
프리시젼바이오,병역특례 인증업체,그 외 기타 의료용 기기 제조업
프리시젼바이오,수출입 기업,그 외 기타 의료용 기기 제조업
아이비젼웍스,중소기업,그 외 기타 특수목적용 기계 제조업
아이비젼웍스,코스닥,그 외 기타 특수목적용 기계 제조업
아이비젼웍스,주식회사,그 외 기타 특수목적용 기계 제조업
아이비젼웍스,외부감사법인,그 외 기타 특수목적용 기계 제조업
아이비젼웍스,수출입 기업,그 외 기타 특수목적용 기계 제조업
디엑스솔루션,중소기업,응용 소프트웨어 개발 및 공급업
디엑스솔루션,주식회사,응용 소프트웨어 개발 및 공급업
인텔리안테크놀로지스,스타트업,기타 무선 통신장비 제조업
인텔리안테크놀로지스,중소기업,기타 무선 통신장비 제조업
인텔리안테크놀로지스,코스닥,기타 무선 통신장비 제조업
인텔리안테크놀로지스,외부감사법인,기타 무선 통신장비 제조업
인텔리안테크놀로지스,수출입 기업,기타 무선 통신장비 제조업
엠에스코리아,"",시설관리·경비·용역
씨앤지 마이크로웨이브,중소기업,기타 무선 통신장비 제조업
씨앤지 마이크로웨이브,주식회사,기타 무선 통신장비 제조업
씨앤지 마이크로웨이브,수출입 기업,기타 무선 통신장비 제조업
피앤이시스템즈,중소기업,기타 전기 변환장치 제조업
피앤이시스템즈,연구소,기타 전기 변환장치 제조업
피앤이시스템즈,수출입 기업,기타 전기 변환장치 제조업
쿠도커뮤니케이션,중소기업,방송장비 제조업
쿠도커뮤니케이션,주식회사,방송장비 제조업
쿠도커뮤니케이션,수출입 기업,방송장비 제조업
에이디티,1000대기업,기기용 자동측정 및 제어장치 제조업
에이디티,중소기업,기기용 자동측정 및 제어장치 제조업
에이디티,외부감사법인,기기용 자동측정 및 제어장치 제조업
에이디티,수출입 기업,기기용 자동측정 및 제어장치 제조업
이노비즈,중소기업,반도체 제조용 기계 제조업
이노비즈,주식회사,반도체 제조용 기계 제조업
이노비즈,외부감사법인,반도체 제조용 기계 제조업
이노비즈,병역특례 인증업체,반도체 제조용 기계 제조업
이노비즈,수출입 기업,반도체 제조용 기계 제조업
시에라베이스,중소기업,응용 소프트웨어 개발 및 공급업
