행정구역명,경제활동인구 (천명),시도명,시군구명,lat,lon,closest_sidos,closest_sigungu
충청남도 논산시,67,충청남도,논산시,36.1868154,127.0987538,대전광역시;전북특별자치도,충청남도 계룡시;충청남도 부여군;전북특별자치도 익산시;대전광역시 유성구;대전광역시 서구
충청남도 계룡시,20,충청남도,계룡시,36.275523,127.2472702,대전광역시;전북특별자치도,대전광역시 유성구;대전광역시 서구;대전광역시 중구;충청남도 논산시;대전광역시 대덕구
충청남도 당진시,113,충청남도,당진시,36.8904083,126.6461833,인천광역시;경기도,충청남도 서산시;충청남도 예산군;충청남도 홍성군;충청남도 아산시;충청남도 태안군
충청남도 금산군,32,충청남도,금산군,36.1087249,127.48815,대전광역시;전북특별자치도,전북특별자치도 무주군;대전광역시 동구;충청북도 옥천군;대전광역시 중구;대전광역시 대덕구
충청남도 부여군,38,충청남도,부여군,36.2753678,126.910107,대전광역시;전북특별자치도,충청남도 논산시;충청남도 청양군;충청남도 공주시;충청남도 보령시;충청남도 서천군
충청남도 서천군,30,충청남도,서천군,36.0800688,126.6916052,전북특별자치도;대전광역시,전북특별자치도 군산시;전북특별자치도 익산시;충청남도 보령시;충청남도 부여군;전북특별자치도 김제시
충청남도 청양군,20,충청남도,청양군,36.4587024,126.8019983,대전광역시;전북특별자치도,충청남도 홍성군;충청남도 보령시;충청남도 부여군;충청남도 예산군;충청남도 공주시
충청남도 홍성군,63,충청남도,홍성군,36.6010501,126.6611667,대전광역시;충청북도,충청남도 예산군;충청남도 청양군;충청남도 서산시;충청남도 보령시;충청남도 당진시
충청남도 예산군,52,충청남도,예산군,36.6808989,126.8448742,대전광역시;충청북도,충청남도 아산시;충청남도 홍성군;충청남도 청양군;충청남도 천안시;충청남도 당진시
충청남도 태안군,40,충청남도,태안군,36.7454236,126.29836,인천광역시;경기도,충청남도 서산시;충청남도 당진시;충청남도 홍성군;충청남도 예산군;충청남도 보령시
전북특별자치도 전주시,354,전북특별자치도,전주시,35.8237631,127.1472805,대전광역시;광주광역시,전북특별자치도 완주군;전북특별자치도 익산시;전북특별자치도 김제시;전북특별자치도 진안군;전북특별자치도 임실군
전북특별자치도 군산시,141,전북특별자치도,군산시,35.9679984,126.7369036,충청남도;대전광역시,충청남도 서천군;전북특별자치도 익산시;전북특별자치도 김제시;전북특별자치도 부안군;충청남도 부여군
전북특별자치도 익산시,154,전북특별자치도,익산시,35.9479291,126.9578025,대전광역시;충청남도,전북특별자치도 김제시;전북특별자치도 완주군;전북특별자치도 군산시;전북특별자치도 전주시;충청남도 서천군
전북특별자치도 정읍시,61,전북특별자치도,정읍시,35.5697678,126.8559787,광주광역시;전라남도,전북특별자치도 고창군;전북특별자치도 부안군;전북특별자치도 김제시;전라남도 담양군;전라남도 장성군
전북특별자치도 남원시,45,전북특별자치도,남원시,35.4163118,127.3903713,광주광역시;전라남도,전라남도 곡성군;전라남도 구례군;전북특별자치도 순창군;전북특별자치도 임실군;전북특별자치도 장수군
전북특별자치도 김제시,50,전북특별자치도,김제시,35.803815,126.880557,광주광역시;대전광역시,전북특별자치도 부안군;전북특별자치도 익산시;전북특별자치도 군산시;전북특별자치도 전주시;전북특별자치도 정읍시
전북특별자치도 완주군,61,전북특별자치도,완주군,35.9039,127.1622,대전광역시;충청남도,전북특별자치도 전주시;전북특별자치도 익산시;전북특별자치도 진안군;전북특별자치도 김제시;충청남도 논산시
전북특별자치도 진안군,15,전북특별자치도,진안군,35.7915,127.4252,대전광역시;광주광역시,전북특별자치도 장수군;전북특별자치도 임실군;전북특별자치도 전주시;전북특별자치도 완주군;전북특별자치도 무주군
전북특별자치도 무주군,15,전북특별자치도,무주군,36.007,127.6609,대전광역시;충청북도,충청남도 금산군;충청북도 영동군;전북특별자치도 진안군;충청북도 옥천군;대전광역시 동구
전북특별자치도 장수군,13,전북특별자치도,장수군,35.647,127.5212,대전광역시;광주광역시,전북특별자치도 진안군;전북특별자치도 임실군;경상남도 함양군;전북특별자치도 남원시;경상남도 거창군
전북특별자치도 임실군,15,전북특별자치도,임실군,35.6174,127.2893,광주광역시;대전광역시,전북특별자치도 장수군;전북특별자치도 진안군;전북특별자치도 남원시;전북특별자치도 전주시;전북특별자치도 순창군
전북특별자치도 순창군,16,전북특별자치도,순창군,35.3741,127.1374,광주광역시;전라남도,전라남도 담양군;전라남도 곡성군;전북특별자치도 남원시;광주광역시 북구;전북특별자치도 임실군
전북특별자치도 고창군,31,전북특별자치도,고창군,35.4355,126.7021,광주광역시;전라남도,전라남도 장성군;전북특별자치도 정읍시;전라남도 영광군;전라남도 담양군;전북특별자치도 부안군
전북특별자치도 부안군,30,전북특별자치도,부안군,35.7316783,126.7330195,광주광역시;충청남도,전북특별자치도 김제시;전북특별자치도 정읍시;전북특별자치도 군산시;전북특별자치도 익산시;전북특별자치도 고창군
전라남도 목포시,112,전라남도,목포시,34.7903335,126.3847547,광주광역시;전북특별자치도,전라남도 신안군;전라남도 무안군;전라남도 영암군;전라남도 해남군;전라남도 함평군
전라남도 여수시,146,전라남도,여수시,34.7546257,127.659859,경상남도;광주광역시,전라남도 광양시;경상남도 남해군;전라남도 순천시;경상남도 하동군;전라남도 고흥군
전라남도 순천시,147,전라남도,순천시,34.9639874,127.5506868,광주광역시;경상남도,전라남도 광양시;경상남도 하동군;전라남도 여수시;전라남도 구례군;경상남도 남해군
전라남도 나주시,69,전라남도,나주시,35.0158859,126.7108313,광주광역시;전북특별자치도,광주광역시 광산구;전라남도 함평군;전라남도 무안군;광주광역시 남구;광주광역시 서구
전라남도 광양시,90,전라남도,광양시,34.9406452,127.6959512,경상남도;광주광역시,전라남도 순천시;경상남도 하동군;전라남도 여수시;경상남도 남해군;경상남도 사천시
전라남도 담양군,25,전라남도,담양군,35.320878,126.9883238,광주광역시;전북특별자치도,전북특별자치도 순창군;광주광역시 북구;전라남도 장성군;광주광역시 동구;광주광역시 서구
전라남도 곡성군,17,전라남도,곡성군,35.2818969,127.2914673,광주광역시;전북특별자치도,전북특별자치도 순창군;전북특별자치도 남원시;전라남도 구례군;전라남도 담양군;광주광역시 북구
전라남도 구례군,14,전라남도,구례군,35.2203329,127.473277,광주광역시;전북특별자치도,전라남도 곡성군;전북특별자치도 남원시;전라남도 순천시;경상남도 하동군;전북특별자치도 순창군
전라남도 고흥군,38,전라남도,고흥군,34.6044123,127.276384,광주광역시;경상남도,전라남도 보성군;전라남도 장흥군;전라남도 여수시;전라남도 강진군;전라남도 순천시
전라남도 보성군,23,전라남도,보성군,34.7711356,127.0798978,광주광역시;전북특별자치도,전라남도 장흥군;전라남도 고흥군;전라남도 강진군;전라남도 화순군;전라남도 영암군
전라남도 화순군,35,전라남도,화순군,35.0643095,126.9864311,광주광역시;전북특별자치도,광주광역시 남구;광주광역시 동구;광주광역시 서구;광주광역시 북구;광주광역시 광산구
전라남도 장흥군,21,전라남도,장흥군,34.6811762,126.906996,광주광역시;전북특별자치도,전라남도 강진군;전라남도 보성군;전라남도 영암군;전라남도 고흥군;전라남도 해남군
전라남도 강진군,18,전라남도,강진군,34.641917,126.7669591,광주광역시;전북특별자치도,전라남도 장흥군;전라남도 영암군;전라남도 해남군;전라남도 보성군;전라남도 완도군
전라남도 해남군,40,전라남도,해남군,34.55269,126.52431,광주광역시;제주특별자치도,전라남도 강진군;전라남도 진도군;전라남도 목포시;전라남도 영암군;전라남도 완도군
전라남도 영암군,40,전라남도,영암군,34.800052,126.6970381,광주광역시;전북특별자치도,전라남도 강진군;전라남도 장흥군;전라남도 나주시;전라남도 목포시;전라남도 무안군
